,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
289,653663c9d89c0bd9633f2222e791b8a4,krakow,blockOfFlats,35.0,2.0,2.0,4.0,2023.0,50.0465729513507,19.9710698643648,2.52,12.0,0.733,0.605,0.404,0.352,0.183,1.511,0.188,condominium,,premium,yes,yes,yes,no,no,2900
290,f32a3adba2628e6687e3caf92a037b03,krakow,tenement,37.0,2.0,2.0,3.0,,50.075047087875,19.9037411487591,3.31,16.0,0.284,0.618,0.447,0.118,0.241,0.684,0.24,condominium,brick,,yes,no,no,no,yes,2500
291,a713beb3e649a609b48221840612721e,krakow,blockOfFlats,54.0,2.0,11.0,11.0,,50.0922795552927,19.991767157138,5.6,8.0,0.267,2.022,0.123,0.452,0.355,0.784,0.21,condominium,,,no,yes,yes,no,no,2300
292,94ffb6c93d356f9faa89d423472aacae,krakow,apartmentBuilding,29.0,1.0,1.0,6.0,2020.0,50.050776461598,19.9676431847308,2.14,9.0,0.534,0.402,0.845,0.384,0.093,1.048,0.702,condominium,brick,premium,yes,yes,yes,yes,no,2650
293,ed142aefddf7768dce6776890236ad47,krakow,blockOfFlats,39.0,2.0,4.0,4.0,,50.0839298793921,19.9565888291855,3.44,7.0,0.349,0.283,0.176,0.534,0.108,1.904,0.27,condominium,brick,,yes,no,no,no,no,1900
294,406ced49e255c9080ce5e70b3decee64,krakow,,27.0,1.0,,,,50.0656856329657,19.9515858787539,1.49,51.0,0.235,0.087,0.366,0.905,0.029,0.744,0.054,condominium,,premium,no,no,yes,no,no,2800
295,7fd187f6f1f9f6c0c271701a74c035e1,krakow,apartmentBuilding,59.0,3.0,5.0,7.0,2024.0,50.0711524675151,19.9137812826934,2.49,33.0,0.186,0.101,0.326,0.358,0.254,0.223,0.063,condominium,brick,premium,yes,yes,yes,yes,no,4500
296,cf58270c1f397ecdf142e9a6db7a10df,krakow,blockOfFlats,52.5,2.0,2.0,3.0,2011.0,50.0842821550323,19.878672595451,5.35,9.0,0.243,0.272,0.673,0.084,0.352,1.71,0.388,condominium,brick,,yes,yes,no,yes,yes,2900
297,9eb0e2aa93db8629e7f657a4a39fca8f,krakow,blockOfFlats,35.0,2.0,2.0,2.0,2023.0,50.0466124784834,19.9719967294289,2.58,11.0,0.796,0.665,0.35,0.418,0.201,1.56,0.202,condominium,,premium,yes,yes,yes,no,no,2900
298,637e9c6fa437c15fa081a657e6f58b7c,krakow,blockOfFlats,34.0,2.0,5.0,8.0,2023.0,50.1036151130681,20.012827661196,7.55,7.0,0.556,1.322,0.152,0.08,0.094,1.403,0.197,condominium,,premium,no,yes,yes,no,no,2750
299,bbaa3625a8c74c36b1f1a8e5abad21b0,krakow,apartmentBuilding,85.0,4.0,1.0,2.0,2010.0,50.0701240282555,19.8695312209266,5.19,0.0,0.709,1.625,0.808,1.392,0.586,1.827,0.958,condominium,brick,premium,yes,yes,no,yes,yes,4899
300,9d9bd66bc9a9a73da5a639a05a798d55,krakow,apartmentBuilding,36.0,2.0,3.0,4.0,,50.0492218556558,19.9593751596798,1.64,24.0,0.161,0.242,0.529,0.312,0.028,0.737,0.435,condominium,brick,premium,no,no,yes,yes,no,3000
301,ebd13bc5a60ea47ae260162b3510cc6b,krakow,blockOfFlats,64.0,4.0,2.0,4.0,,50.0881947615066,19.9288105106311,3.72,17.0,0.119,0.41,0.323,0.25,0.378,0.521,0.101,condominium,,,no,no,no,no,no,4000
302,f9a593f6caf6616bbcff11a3bd857930,krakow,apartmentBuilding,46.0,2.0,1.0,3.0,,50.0038314514056,20.0036984098179,7.38,4.0,0.309,0.403,0.842,0.27,0.67,3.274,0.614,condominium,brick,,no,yes,no,no,no,2400
